player_id,x,y,cluster,name,position,archetype
15607.0,1.4036907,8.847491,1,Raúl González Blanco,Right Wing,Generalist
25924.0,0.32301533,3.8503218,6,José Maria Gutiérrez Hernández,Left Defensive Midfield,Defensive anchor
25923.0,3.0335364,-0.18078913,4,Júlio César Clement Baptista,Left Wing,Creative playmaker
26088.0,-1.0804951,11.070449,1,Jesús María Lacruz Gómez,Right Center Back,Generalist
26035.0,-0.7230539,-2.8770761,3,Francisco Javier Yeste Navarro,Left Attacking Midfield,Possession system elite
26084.0,13.782567,6.5376453,0,Iñaki Lafuente Sancha,Goalkeeper,Shot-stopper
26030.0,-0.88365304,11.360155,1,Ander Murillo García,Right Wing Back,Generalist
26086.0,-3.2180357,2.7164826,8,Pablo Orbaiz Lesaka,Left Center Midfield,Stopper CB
26028.0,-1.0728923,11.101813,1,Fernando Amorebieta Mardaras,Center Back,Generalist
26032.0,-1.0498924,11.107309,1,Unai Expósito Medina,Left Wing Back,Generalist
26085.0,-3.9584787,3.5424232,8,Luis Prieto Zalbidegoitia,Left Center Back,Stopper CB
15606.0,0.4412841,-3.3015702,3,Joseba Andoni Etxeberria Lizardi,Right Attacking Midfield,Possession system elite
26031.0,-3.1594458,3.1155941,8,Andoni Iraola Sagarna,Right Center Back,Stopper CB
25961.0,-3.0511367,4.12388,7,Ramón de Quintana Dalmau,Right Center Back,Aggressive stopper
25965.0,0.5035693,4.709942,6,Roberto Suárez Álvarez,Right Defensive Midfield,Defensive anchor
25959.0,-2.4381397,4.1387944,7,Alejandro Varela López,Right Back,Aggressive stopper
25957.0,-2.391105,4.7703094,7,Andrés José Fleurquin Rubio,Left Defensive Midfield,Aggressive stopper
25964.0,0.3659453,3.991936,6,Matías Nicolás Pavoni,Center Attacking Midfield,Defensive anchor
25966.0,0.59994954,9.645086,1,Oliverio Jesús Alvarez González,Center Forward,Generalist
25967.0,3.3180203,3.7452354,5,Enrique Fernando Ortiz Moruno,Right Wing,Wide progressive
25955.0,1.5129689,7.0261517,2,Jonathan Sesma González,Left Wing,Box-to-box engine
25953.0,13.693409,6.329997,0,Armando Riveiro de Aguilar Malda,Goalkeeper,Shot-stopper
25963.0,-3.077782,3.0620074,8,José Julián De La Cuesta Herrera,Left Center Back,Stopper CB
25951.0,-2.8677392,4.1334352,7,Mário Fernando Magalhães da Silva,Left Back,Aggressive stopper
25945.0,-1.4013711,-1.4023904,3,Manuel Pérez Rodrigo,Right Defensive Midfield,Possession system elite
25947.0,3.117248,-0.019142594,4,Fabián Larry Estoyanoff Poggio,Center Forward,Creative playmaker
25912.0,13.774044,6.416145,0,Ricardo López Felipe,Goalkeeper,Shot-stopper
19331.0,2.932209,1.7883346,5,Savo Milošević,Center Forward,Wide progressive
25914.0,-0.32832995,10.532842,1,Rafael Clavero Prados,Left Back,Generalist
17304.0,0.59534955,-3.1202629,3,Héctor Junior Firpo Adames,Left Back,Possession system elite
6374.0,0.74325377,-3.0707111,3,Nélson Cabral Semedo,Right Back,Possession system elite
6705.0,-0.76944226,-2.8236587,3,José Ángel Valdés Díaz,Left Back,Possession system elite
6826.0,-0.46964473,-3.0841146,3,Clément Lenglet,Left Center Back,Possession system elite
8206.0,2.178119,1.4795117,5,Arturo Erasmo Vidal Pardo,Right Center Midfield,Wide progressive
6910.0,2.523364,3.4688685,5,Eduardo Expósito Jaén,Left Defensive Midfield,Wide progressive
