matrix_row,player_id,label,archetype,name,position,x,y
368,25134,1,Generalist,Deyverson Brum Silva Acosta,Left Center Forward,0.8924712,9.421983
369,3486,1,Generalist,Fernando Llorente Torres,Center Forward,1.655314,8.008181
370,26753,0,Shot-stopper,Javier Varas Herrera,Goalkeeper,15.637546,2.326966
371,7907,9,Attacking fullback,Pedro Bigas Rigo,Left Center Back,-1.7039961,-0.67689663
372,6932,4,Creative playmaker,Dani Castellano Betancor,Left Back,0.21817632,-1.5905733
373,27522,10,Aerial commander,Antolín Alcáraz Viveros,Right Center Back,-2.3162892,0.82877874
374,10755,4,Creative playmaker,Jonathan Viera Ramos,Left Wing,1.9425339,-1.0955327
375,7906,5,Wide progressive,David Simón Rodríguez Santana,Right Back,0.54374784,0.11873358
376,8440,3,Possession system elite,Aythami Artiles Oliva,Right Center Back,-1.9826965,-1.5122323
377,3610,4,Creative playmaker,Roque Mesa Quevedo,Right Defensive Midfield,1.2597313,-2.056765
378,10476,3,Possession system elite,Timothée Kolodziejczak,Left Center Back,-1.5048037,-1.562368
379,15805,5,Wide progressive,Hernán Daniel Santana Trujillo,Center Defensive Midfield,1.1293377,0.018682215
380,7948,10,Aerial commander,Marco Andreolli,Right Center Back,-2.1536813,0.59729147
381,7788,1,Generalist,Ciro Immobile,Center Forward,1.3621453,8.822105
382,6626,4,Creative playmaker,Mubarak Wakaso,Left Midfield,2.4713748,0.6378934
383,8167,5,Wide progressive,Sergio Ezequiel Araújo,Center Forward,2.9457753,2.3134294
384,7154,6,Defensive anchor,Sebastián Carlos Cristóforo Pepe,Left Defensive Midfield,1.1450404,4.794922
385,6608,4,Creative playmaker,Nabil El Zhar,Right Midfield,2.577655,-0.45550495
386,27521,4,Creative playmaker,Juan Emmanuel Culio,Left Center Midfield,2.011549,-0.7406142
387,6929,4,Creative playmaker,José Vicente Gómez Umpiérrez,Left Defensive Midfield,1.4927998,-1.7300919
388,27457,0,Shot-stopper,Manuel Fernández Muñíz,Goalkeeper,14.227099,4.915881
389,27403,9,Attacking fullback,Santiago Vergini,Right Center Back,-1.6343266,-0.39371863
390,220761,6,Defensive anchor,Miguel Ángel Muñoz Alonso,Right Back,-0.9723064,4.6897216
391,6869,10,Aerial commander,Alejandro Arribas Garrido,Right Center Back,-2.8709815,1.8310055
392,6736,5,Wide progressive,Álvaro Medrán Just,Right Defensive Midfield,1.6177124,2.7103064
393,6913,9,Attacking fullback,Fernando Navarro i Corbacho,Left Back,-1.2570885,0.841105
394,6856,-1,Uncategorised,Carlos Martín Vigaray,Left Back,-0.8842837,4.1589055
395,23416,5,Wide progressive,Stefan Šćepović,Center Forward,3.1990044,2.4335597
396,27656,3,Possession system elite,Carl Medjani,Right Center Back,-2.0412974,-1.2844187
397,6844,6,Defensive anchor,Federico Ricca Rostagnol,Left Back,-1.337934,2.029972
398,5577,0,Shot-stopper,Francisco Guillermo Ochoa Magaña,Goalkeeper,14.507449,4.460756
399,6764,5,Wide progressive,Pablo Fornals Malla,Left Defensive Midfield,1.0885152,-0.16768779
400,27463,5,Wide progressive,Mauricio Andrés Cuero Castillo,Right Midfield,2.9935853,1.5611999
401,16723,8,Stopper CB,Egor Filipenko,Left Center Back,-2.9830327,2.7632823
402,8419,2,Box-to-box engine,Duje Čop,Left Center Forward,2.3245745,5.43213
403,7141,5,Wide progressive,Giuseppe Rossi,Left Center Forward,3.0617774,3.382508
404,3084,4,Creative playmaker,Christian Atsu Twasam,Right Midfield,2.7610478,0.31201312
405,26211,4,Creative playmaker,Joan Verdú Fernández,Right Midfield,1.7119995,-1.3538538
